Measles, Madagascar, 0
Plague, Madagascar, 313
Measles, Malawi, 21
Rubella, Malawi, 53
Neonatal tetanus, Malawi, 7
Measles, Malaysia, 153
Pertussis, Malaysia, 5
Tetanus, Malaysia, 19
Mumps, Maldives, 71
Mumps, Malta, 1
Pertussis, Malta, 0
Congenital Rubella Syndrome, Malta, 0
Mumps, Marshall Islands, 2
Measles, Mauritania, 322
Neonatal tetanus, Mauritania, 1
Pertussis, Mauritius, 1
Rubella, Mauritius, 2
Mumps, Mexico, 0
Mumps, Micronesia, 0
Yellow fever, Mongolia, 0
Diphtheria, Morocco, 0
Tetanus, Mozambique, 41
Diphtheria, Myanmar, 19
Tetanus, Myanmar, 229
Pertussis, Namibia, 0
Diphtheria, Nauru, 0
Tetanus, Nauru, 0
Congenital Rubella Syndrome, Netherlands, 0
Neonatal tetanus, New Zealand, 0
Rubella, Nicaragua, 0
Neonatal tetanus, Nicaragua, 0
Neonatal tetanus, Niger, 14
Tetanus, Niger, 157
Pertussis, Nigeria, 11281
Rubella, Niue, 0
Congenital Rubella Syndrome, Norway, 0
Japanese encephalitis, Oman, 0
Measles, Oman, 19
Tetanus, Oman, 2
Yellow fever, Oman, 0
Diphtheria, Montenegro, 0
Yellow fever, Montenegro, 0
Measles, Panama, 0
Yellow fever, Panama, 0
Measles, Papua New Guinea, 0
Tetanus, Paraguay, 12
Measles, Peru, 0
Mumps, Peru, 0
Yellow fever, Peru, 8
Diphtheria, Philippines, 118
Yellow fever, Philippines, 0
Yellow fever, Poland, 0
Rubella, Portugal, 3
Neonatal tetanus, Portugal, 0
Congenital Rubella Syndrome, Qatar, 0
Rubella, Qatar, 14
Neonatal tetanus, Qatar, 0
Tetanus, Republic of Korea, 17
Mumps, Republic of Moldova, 292
Congenital Rubella Syndrome, Republic of Moldova, 0
Mumps, Rwanda, 0
Neonatal tetanus, Rwanda, 0
Rubella, Saint Kitts and Nevis, 0
Tetanus, Saint Kitts and Nevis, 0
Pertussis, Saint Lucia, 0
Congenital Rubella Syndrome, Saint Lucia, 0
Rubella, Saint Vincent and the Grenadines, 0
Mumps, Samoa, 0
Pertussis, Samoa, 0
Diphtheria, San Marino, 0
Japanese encephalitis, San Marino, 0
Mumps, San Marino, 0
Diphtheria, Sao Tome and Principe, 0
Neonatal tetanus, Sao Tome and Principe, 0
Tetanus, Sao Tome and Principe, 0
Rubella, Saudi Arabia, 12
Tetanus, Saudi Arabia, 15
Neonatal tetanus, Serbia, 1
Mumps, Seychelles, 0
Neonatal tetanus, Sierra Leone, 12
Tetanus, Sierra Leone, 12
Neonatal tetanus, Singapore, 0
Mumps, Slovakia, 5
Congenital Rubella Syndrome, Slovakia, 0
Mumps, Slovenia, 27
Japanese encephalitis, Solomon Islands, 0
Yellow fever, Solomon Islands, 0
Japanese encephalitis, South Africa, 0
Measles, South Africa, 5857
Pertussis, South Africa, 4
Rubella, South Africa, 2975
Tetanus, Sudan, 155
Japanese encephalitis, Sweden, 0
Tetanus, Sweden, 3
Yellow fever, Sweden, 0
Pertussis, Switzerland, 3700
Congenital Rubella Syndrome, Switzerland, 0
Neonatal tetanus, Switzerland, 0
Pertussis, Syria, 19
Mumps, Tajikistan, 1200
Measles, Thailand, 6071
Pertussis, Macedonia, 7
Meningitis, Togo, 415
Rubella, Trinidad and Tobago, 0
Neonatal tetanus, Tunisia, 0
Tetanus, Tunisia, 2
Diphtheria, Turkey, 0
Diphtheria, Turkmenistan, 5
Measles, Tuvalu, 0
Neonatal tetanus, Tuvalu, 0
Yellow fever, United Kingdom, 0
Diphtheria, United States of America, 0
Congenital Rubella Syndrome, Uruguay, 0
Neonatal tetanus, Uruguay, 0
Tetanus, Uruguay, 1
Pertussis, Vanuatu, 0
Rubella, Vietnam, 1573
Neonatal tetanus, Vietnam, 33
Rubella, Yemen, 225
Neonatal tetanus, Yemen, 30
Pertussis, Zambia, 681
Congenital Rubella Syndrome, Zambia, 0
Yellow fever, Zimbabwe, 0
Meningitis, Ethiopia, 114
Meningitis, Togo, 350
Meningitis, Ghana, 754
Measles, Afghanistan, 1989
Diphtheria, Argentina, 0
Measles, Australia, 70
Diphtheria, Austria, 0
Measles, Burundi, 495
Diphtheria, Bangladesh, 27
Diphtheria, Bahamas, 0
Measles, Bahamas, 0
Measles, Belize, 0
Diphtheria, Bhutan, 0
Measles, Central African Republic, 2
Measles, Canada, 99
Japanese encephalitis, China, 2541
Diphtheria, Costa Rica, 0
Measles, Costa Rica, 0
Japanese encephalitis, Czech Republic, 1
Diphtheria, Germany, 8
Measles, Dominica, 0
Diphtheria, Dominican Republic, 4
Measles, Spain, 302
Measles, Georgia, 22
Measles, Gambia, 2
Diphtheria, Grenada, 0
Diphtheria, Croatia, 0
Measles, Indonesia, 16529
Measles, Ireland, 443
Measles, Iceland, 0
Diphtheria, Italy, 0
Japanese encephalitis, Japan, 4
Measles, Japan, 450
Measles, Kyrgyzstan, 0
H5N1 influenza, Cambodia, 8
Measles, Saint Kitts and Nevis, 0
Diphtheria, Sri Lanka, 0
Japanese encephalitis, Sri Lanka, 27
Diphtheria, Lithuania, 0
Diphtheria, Luxembourg, 0
Diphtheria, Republic of Moldova, 0
Japanese encephalitis, Republic of Moldova, 0
Diphtheria, Mexico, 0
Measles, Mexico, 0
Measles, Mali, 1719
